98049 silly lifecycle utf8@2.1.0~preinstall: no script for preinstall, continuing
98982 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tfunk/node_modules/has-ansi
98983 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tfunk/node_modules/strip-ansi
98984 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tfunk/node_modules/supports-color
98985 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tfunk/node_modules/chalk
98986 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tfunk
98987 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/eazy-logger
98988 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/throttleit
98989 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/request-progress
98990 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/through
98991 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/through2/node_modules/readable-stream
98992 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/time-grunt
98993 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/timed-out
98994 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tiny-lr-fork/node_modules/debug
98995 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tiny-lr-fork/node_modules/qs
98996 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tiny-lr-fork
98997 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-contrib-watch
98998 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/to-absolute-glob
98999 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/to-array
99000 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/to-fast-properties
99001 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tough-cookie
99002 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/trim-newlines
99003 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/trim-repeated
99004 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/filenamify
99005 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/trim-right
99006 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/try-resolve
99007 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tryit
99008 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/is-resolvable
99009 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tryor
99010 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tunnel-agent
99011 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/phantomjs/node_modules/request
99012 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/caw
99013 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/type-check
99014 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/levn
99015 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/typedarray
99016 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/html-minifier/node_modules/concat-stream
99017 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/ua-parser-js
99018 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/ucfirst
99019 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/uglify-js/node_modules/async
99020 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/uglify-js/node_modules/source-map
99021 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/uglify-js/node_modules/window-size
99022 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/uglify-to-browserify
99023 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-contrib-uglify/node_modules/uglify-js
99024 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/uid-number
99025 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/ultron
99026 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/underscore
99027 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/argparse
99028 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/js-yaml
99029 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/underscore.string
99030 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/unpipe
99031 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/finalhandler
99032 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/unzip-response
99033 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/upper-case
99034 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/title-case
99035 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/swap-case
99036 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/is-upper-case
99037 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/constant-case
99038 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/camel-case
99039 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/upper-case-first
99040 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/pascal-case
99041 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/change-case
99042 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/uri-path
99043 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/url-parse-lax
99044 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/url-regex
99045 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/user-home
99046 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/home-or-tmp
99047 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/utf-8-validate
99048 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/utf8
99049 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/engine.io-parser
99050 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/util-deprecate
99051 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/readable-stream
99052 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/readdirp
99053 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/chokidar
99054 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/read-all-stream
99055 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/ordered-read-streams
99056 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/merge-stream
99057 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/duplexer2
99058 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/stream-combiner2
99059 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/concat-stream
99060 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/spawn-sync
99061 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/cross-spawn
99062 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/gzip-size
99063 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/maxmin
99064 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-contrib-uglify
99065 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-contrib-cssmin
99066 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/bl
99067 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/are-we-there-yet
99068 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/npmlog
99069 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/utils-merge
99070 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/connect
99071 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/foxy
99072 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/uuid
99073 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tempfile
99074 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/exec-buffer
99075 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/validate-npm-package-license
99076 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/normalize-package-data
99077 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/read-pkg
99078 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/read-pkg-up
99079 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/find-versions/node_modules/meow
99080 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/find-versions
99081 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/bin-version
99082 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/bin-version-check
99083 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl
99084 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/buffer-to-vinyl
99085 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-assign/node_modules/object-assign
99086 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-assign
99087 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs/node_modules/clone
99088 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs/node_modules/graceful-fs
99089 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs/node_modules/minimatch
99090 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs/node_modules/object-assign
99091 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs/node_modules/ordered-read-streams
99092 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs/node_modules/strip-bom
99093 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs/node_modules/vinyl
99094 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/weinre/node_modules/nopt
99095 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/weinre
99096 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/browser-sync-ui
99097 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/whet.extend
99098 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/svgo
99099 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-svgmin/node_modules/svgo
99100 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-svgmin
99101 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/which
99102 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-legacy-util
99103 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt
99104 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/window-size
99105 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wiredep/node_modules/ansi-regex
99106 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wiredep/node_modules/ansi-styles
99107 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wiredep/node_modules/has-ansi
99108 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wiredep/node_modules/lodash
99109 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wiredep/node_modules/minimatch
99110 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wiredep/node_modules/strip-ansi
99111 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wiredep/node_modules/supports-color
99112 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wiredep/node_modules/chalk
99113 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wordwrap
99114 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/uglify-js/node_modules/yargs
99115 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/uglify-js
99116 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/html-minifier
99117 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-contrib-htmlmin
99118 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/optionator
99119 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/optimist
99120 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/bower-config
99121 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/cliui
99122 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/handlebars/node_modules/yargs
99123 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/handlebars/node_modules/uglify-js
99124 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/handlebars
99125 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wrap-ansi
99126 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/localtunnel/node_modules/cliui
99127 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wrap-fn
99128 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/ware
99129 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wrappy
99130 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/once
99131 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/run-async
99132 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/inquirer
99133 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/npmconf
99134 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/phantomjs
99135 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-lib-phantomjs
99136 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-mocha
99137 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/node-sass/node_modules/npmconf
99138 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/end-of-stream
99139 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/duplexify/node_modules/end-of-stream
99140 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/duplexify
99141 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/got
99142 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/inflight
99143 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wiredep/node_modules/glob
99144 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs/node_modules/glob
99145 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/sass-graph/node_modules/glob
99146 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/node-sass/node_modules/glob
99147 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/globby/node_modules/glob
99148 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/globby
99149 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/del
99150 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/glob-stream/node_modules/glob
99151 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/eslint/node_modules/glob
99152 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/commoner/node_modules/glob
99153 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/commoner
99154 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/write
99155 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/flat-cache
99156 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/file-entry-cache
99157 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/ws
99158 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/engine.io
99159 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/xml-escape
99160 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/xmlhttprequest
99161 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/engine.io-client
99162 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/socket.io-client
99163 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/socket.io
99164 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/xtend
99165 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/through2-filter/node_modules/through2
99166 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/through2-filter
99167 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/unique-stream
99168 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/through2
99169 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/wiredep
99170 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-wiredep
99171 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs/node_modules/merge-stream
99172 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs/node_modules/glob-stream
99173 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/vinyl-fs
99174 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/glob-stream
99175 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/tar-stream
99176 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/decompress-targz
99177 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/decompress-tarbz2
99178 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/decompress-tar
99179 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/output-file-sync
99180 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/is-my-json-valid
99181 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/har-validator
99182 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/request
99183 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/node-gyp
99184 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/eslint
99185 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-eslint
99186 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/imagemin-svgo/node_modules/through2
99187 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/imagemin-svgo
99188 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/imagemin-jpegtran/node_modules/through2
99189 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/gulp-util/node_modules/through2
99190 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/gulp-util
99191 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/gulp-sourcemaps/node_modules/through2
99192 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/gulp-sourcemaps
99193 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/download/node_modules/through2
99194 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/download/node_modules/vinyl-fs
99195 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/decompress/node_modules/through2
99196 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/decompress/node_modules/vinyl-fs
99197 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/decompress-unzip/node_modules/through2
99198 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/y18n
99199 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/localtunnel/node_modules/yargs
99200 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/localtunnel
99201 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/browser-sync
99202 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-browser-sync
99203 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/yargs
99204 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/sass-graph
99205 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/node-sass
99206 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-sass
99207 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/defs
99208 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/regenerator
99209 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/babel-core
99210 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-babel
99211 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/yauzl
99212 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/decompress-unzip
99213 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/decompress
99214 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/gulp-decompress
99215 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/download
99216 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/bin-wrapper
99217 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/bin-build
99218 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/optipng-bin
99219 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/imagemin-optipng
99220 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/jpegtran-bin
99221 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/imagemin-jpegtran
99222 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/gifsicle
99223 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/imagemin-gifsicle
99224 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/imagemin
99225 silly finalize /home/baxter/Study/Yeoman/web-app/node_modules/grunt-contrib-imagemin
99226 silly doSerial build 996
99227 silly build abbrev@1.0.7
99228 info linkStuff abbrev@1.0.7
99229 silly linkStuff abbrev@1.0.7 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99230 verbose linkBins abbrev@1.0.7
99231 verbose linkMans abbrev@1.0.7
99232 silly build acorn@1.2.2
99233 info linkStuff acorn@1.2.2
99234 silly linkStuff acorn@1.2.2 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99235 verbose linkBins acorn@1.2.2
99236 verbose link bins [ { acorn: './bin/acorn' },
99236 verbose link bins   '/home/baxter/Study/Yeoman/web-app/node_modules/.bin',
99236 verbose link bins   false ]
99237 verbose linkMans acorn@1.2.2
99238 silly gentlyRm /home/baxter/Study/Yeoman/web-app/node_modules/.bin/acorn is being purged
99239 verbose gentlyRm don't care about contents; nuking /home/baxter/Study/Yeoman/web-app/node_modules/.bin/acorn
99240 silly build adm-zip@0.4.4
99241 info linkStuff adm-zip@0.4.4
99242 silly linkStuff adm-zip@0.4.4 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99243 verbose linkBins adm-zip@0.4.4
99244 verbose linkMans adm-zip@0.4.4
99245 silly build after@0.8.1
99246 info linkStuff after@0.8.1
99247 silly linkStuff after@0.8.1 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99248 verbose linkBins after@0.8.1
99249 verbose linkMans after@0.8.1
99250 silly build amdefine@1.0.0
99251 info linkStuff amdefine@1.0.0
99252 silly linkStuff amdefine@1.0.0 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99253 verbose linkBins amdefine@1.0.0
99254 verbose linkMans amdefine@1.0.0
99255 silly build ansi@0.3.0
99256 info linkStuff ansi@0.3.0
99257 silly linkStuff ansi@0.3.0 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99258 verbose linkBins ansi@0.3.0
99259 verbose linkMans ansi@0.3.0
99260 silly build ansi-escapes@1.1.0
99261 info linkStuff ansi-escapes@1.1.0
99262 silly linkStuff ansi-escapes@1.1.0 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99263 verbose linkBins ansi-escapes@1.1.0
99264 verbose linkMans ansi-escapes@1.1.0
99265 silly build ansi-regex@2.0.0
99266 info linkStuff ansi-regex@2.0.0
99267 silly linkStuff ansi-regex@2.0.0 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99268 verbose linkBins ansi-regex@2.0.0
99269 verbose linkMans ansi-regex@2.0.0
99270 silly build ansi-styles@2.1.0
99271 info linkStuff ansi-styles@2.1.0
99272 silly linkStuff ansi-styles@2.1.0 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99273 verbose linkBins ansi-styles@2.1.0
99274 verbose linkMans ansi-styles@2.1.0
99275 silly build ansi-wrap@0.1.0
99276 info linkStuff ansi-wrap@0.1.0
99277 silly linkStuff ansi-wrap@0.1.0 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99278 verbose linkBins ansi-wrap@0.1.0
99279 verbose linkMans ansi-wrap@0.1.0
99280 silly build ansi-green@0.1.1
99281 info linkStuff ansi-green@0.1.1
99282 silly linkStuff ansi-green@0.1.1 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99283 verbose linkBins ansi-green@0.1.1
99284 verbose linkMans ansi-green@0.1.1
99285 silly build underscore.string@2.4.0
99286 info linkStuff underscore.string@2.4.0
99287 silly linkStuff underscore.string@2.4.0 has /home/baxter/Study/Yeoman/web-app/node_modules/argparse/node_modules as its parent node_modules
99288 verbose linkBins underscore.string@2.4.0
99289 verbose linkMans underscore.string@2.4.0
99290 silly build arr-flatten@1.0.1
99291 info linkStuff arr-flatten@1.0.1
99292 silly linkStuff arr-flatten@1.0.1 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99293 verbose linkBins arr-flatten@1.0.1
99294 verbose linkMans arr-flatten@1.0.1
99295 silly build arr-diff@2.0.0
99296 info linkStuff arr-diff@2.0.0
99297 silly linkStuff arr-diff@2.0.0 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99298 verbose linkBins arr-diff@2.0.0
99299 verbose linkMans arr-diff@2.0.0
99300 silly build array-differ@1.0.0
99301 info linkStuff array-differ@1.0.0
99302 silly linkStuff array-differ@1.0.0 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99303 verbose linkBins array-differ@1.0.0
99304 verbose linkMans array-differ@1.0.0
99305 silly build array-uniq@1.0.2
99306 info linkStuff array-uniq@1.0.2
99307 silly linkStuff array-uniq@1.0.2 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99308 verbose linkBins array-uniq@1.0.2
99309 verbose linkMans array-uniq@1.0.2
99310 silly build array-union@1.0.1
99311 info linkStuff array-union@1.0.1
99312 silly linkStuff array-union@1.0.1 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99313 verbose linkBins array-union@1.0.1
99314 verbose linkMans array-union@1.0.1
99315 silly build array-unique@0.2.1
99316 info linkStuff array-unique@0.2.1
99317 silly linkStuff array-unique@0.2.1 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99318 verbose linkBins array-unique@0.2.1
99319 verbose linkMans array-unique@0.2.1
99320 silly build arraybuffer.slice@0.0.6
99321 info linkStuff arraybuffer.slice@0.0.6
99322 silly linkStuff arraybuffer.slice@0.0.6 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99323 verbose linkBins arraybuffer.slice@0.0.6
99324 verbose linkMans arraybuffer.slice@0.0.6
99325 silly build arrify@1.0.1
99326 info linkStuff arrify@1.0.1
99327 silly linkStuff arrify@1.0.1 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99328 verbose linkBins arrify@1.0.1
99329 verbose linkMans arrify@1.0.1
99330 silly build asn1@0.1.11
99331 info linkStuff asn1@0.1.11
99332 silly linkStuff asn1@0.1.11 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99333 verbose linkBins asn1@0.1.11
99334 verbose linkMans asn1@0.1.11
99335 silly build assert-plus@0.1.5
99336 info linkStuff assert-plus@0.1.5
99337 silly linkStuff assert-plus@0.1.5 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99338 verbose linkBins assert-plus@0.1.5
99339 verbose linkMans assert-plus@0.1.5
99340 silly build ast-traverse@0.1.1
99341 info linkStuff ast-traverse@0.1.1
99342 silly linkStuff ast-traverse@0.1.1 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99343 verbose linkBins ast-traverse@0.1.1
99344 verbose linkMans ast-traverse@0.1.1
99345 silly build ast-types@0.8.12
99346 info linkStuff ast-types@0.8.12
99347 silly linkStuff ast-types@0.8.12 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99348 verbose linkBins ast-types@0.8.12
99349 verbose linkMans ast-types@0.8.12
99350 silly build async@0.1.22
99351 info linkStuff async@0.1.22
99352 silly linkStuff async@0.1.22 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99353 verbose linkBins async@0.1.22
99354 verbose linkMans async@0.1.22
99355 silly build async-each@0.1.6
99356 info linkStuff async-each@0.1.6
99357 silly linkStuff async-each@0.1.6 has /home/baxter/Study/Yeoman/web-app/node_modules as its parent node_modules
99358 verbose linkBins async-each@0.1.6
99359 verbose linkMans async-each@0.1.6
99360 silly build async-each-series@0.1.1
99361 info linkStuff async-each-series@0.1.1
